City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,pak phanang,8.3511,100.202,24.85,88,100,2.39,TH,1724859289
180,zhoucun,36.8167,117.8167,20.76,86,47,0.99,CN,1724859290
181,yigo village,13.5361,144.8886,29.16,80,100,8.75,GU,1724859291
182,hithadhoo,-0.6,73.0833,28.69,74,96,4.26,MV,1724859293
183,taoudenni,22.6783,-3.9836,46.23,8,33,2.04,ML,1724859294
184,miracema do tocantins,-9.5618,-48.3967,37.43,17,79,3.91,BR,1724859295
185,karratha,-20.7377,116.8463,24.25,42,33,4.3,AU,1724859286
186,howrah,22.5892,88.3103,30.0,79,40,1.54,IN,1724859297
187,puerto madero,14.7208,-92.4215,28.11,83,20,2.57,MX,1724859298
188,dalbandin,28.8947,64.4101,36.01,8,3,1.68,PK,1724859300
189,tongchuanshi,35.0806,109.0897,21.86,62,40,2.59,CN,1724859301
190,susangerd,31.5608,48.1831,45.06,8,0,10.14,IR,1724858891
191,faya-largeau,17.9257,19.1043,35.94,51,20,5.14,TD,1724859303
192,lazaro cardenas,17.9583,-102.2,29.63,68,83,0.94,MX,1724859304
193,kuqa,41.7278,82.9364,29.26,29,85,1.77,CN,1724859305
194,hinton,53.4001,-117.5857,10.39,80,100,2.45,CA,1724858903
195,codrington,-38.2667,141.9667,10.52,71,100,7.61,AU,1724858812
196,sukumo,32.9333,132.7333,24.88,93,100,5.5,JP,1724859309
197,dudinka,69.4058,86.1778,11.48,88,23,2.64,RU,1724859310
198,lebu,-37.6167,-73.65,11.42,62,28,6.71,CL,1724859311
199,mastic beach,40.7668,-72.8521,29.16,72,0,4.12,US,1724859312
200,nadym,65.5333,72.5167,15.25,74,31,4.8,RU,1724859315
201,slave lake,55.2834,-114.769,12.99,88,75,6.17,CA,1724859316
202,san patricio,28.017,-97.5169,30.97,50,20,4.69,US,1724859317
203,aripuana,-9.1667,-60.6333,38.55,17,0,1.65,BR,1724859266
204,barra de santo antonio,-9.4047,-35.5072,26.04,66,12,5.38,BR,1724859319
205,oak ridge,36.0104,-84.2696,30.83,63,0,1.69,US,1724859321
206,nogamerzin-yurt,43.6536,44.8889,27.24,39,85,7.73,RU,1724859322
207,atamyrat,37.8357,65.2106,27.73,20,0,6.89,TM,1724859323
208,villa gesell,-37.2639,-56.973,12.09,69,29,4.84,AR,1724859136
209,caxito,-8.5785,13.6643,25.72,62,28,5.64,AO,1724859326
210,avarua,-21.2078,-159.775,24.03,83,75,6.69,CK,1724858726
211,badagara,11.6,75.5833,26.02,81,100,0.95,IN,1724859329
212,kuvandyk,51.4781,57.3552,18.28,72,0,1.84,RU,1724859330
213,yerkoy,39.6381,34.4672,26.75,38,46,1.73,TR,1724859257
214,klyuchi,52.2667,79.1667,14.55,76,30,1.68,RU,1724859332
215,talnakh,69.4865,88.3972,11.18,92,68,1.49,RU,1724859333
216,whitehorse,60.7161,-135.0538,10.43,72,75,6.71,CA,1724859336
217,tidjikja,18.5564,-11.4271,42.6,11,98,9.42,MR,1724859337
218,puerto ayora,-0.7393,-90.3518,19.19,97,87,1.79,EC,1724859274
219,dunedin,-45.8742,170.5036,11.0,72,0,0.89,NZ,1724859339
220,belmonte,-15.8631,-38.8828,25.12,68,66,7.69,BR,1724859340
221,marand,38.4329,45.7749,23.95,32,0,3.01,IR,1724859342
222,newark,40.7357,-74.1724,31.26,61,75,4.12,US,1724859193
223,nyurba,63.2842,118.3319,7.76,65,91,1.52,RU,1724859344
224,lecheng,25.1238,113.3254,23.64,95,100,2.43,CN,1724859345
225,iskateley,67.6803,53.1512,11.72,73,90,7.51,RU,1724859346
226,kalix,65.853,23.1565,16.1,81,74,4.17,SE,1724859347
227,addiet canna,11.2667,37.4833,14.65,91,100,0.66,ET,1724859349
228,geiro,-6.15,36.8667,20.05,75,67,3.19,TZ,1724859350
229,chui,-33.6971,-53.4616,15.31,62,42,3.66,UY,1724859351
230,sanctuary point,-35.1114,150.629,15.05,39,87,4.96,AU,1724859352
231,oak hill,37.9723,-81.1487,30.44,49,4,1.81,US,1724859353
232,prince rupert,54.3161,-130.3201,12.05,93,100,6.17,CA,1724859354
233,byaroza,52.5314,24.9786,26.34,53,83,4.24,BY,1724859356
234,chumphon,10.3333,98.8333,22.67,94,100,3.52,TH,1724859357
235,malango,-2.9627,119.9001,18.12,99,69,0.75,ID,1724859358
236,xilin hot,43.9667,116.0333,18.32,50,92,2.55,CN,1724859359
237,wuxue,29.8506,115.5525,23.41,89,76,1.43,CN,1724859360
238,harper,4.375,-7.7169,24.59,84,100,5.64,LR,1724859361
239,boende,-0.2167,20.8667,30.89,48,65,3.54,CD,1724859364
240,tofol,5.3248,163.0078,28.71,75,100,4.65,FM,1724859365
241,ancud,-41.8697,-73.8203,8.82,61,0,2.2,CL,1724858898
242,pundong,-7.9522,110.3486,22.22,92,76,0.21,ID,1724859367
243,newman,37.3138,-121.0208,28.02,20,0,1.29,US,1724859231
244,newport,51.5877,-2.9984,20.06,89,100,4.0,GB,1724859084
245,geraldton,-28.7667,114.6,19.23,82,100,4.12,AU,1724859078
246,borba,-4.3878,-59.5939,38.76,20,15,1.58,BR,1724859372
247,lively,46.4334,-81.1498,12.79,76,99,4.54,CA,1724859373
248,fort-shevchenko,44.5086,50.263,27.75,30,0,6.96,KZ,1724859374
249,keflavik,64.0049,-22.5624,11.24,71,0,9.26,IS,1724859375
250,saynshand,44.8824,110.1163,25.38,33,1,4.64,MN,1724859376
251,galle,6.0367,80.217,26.68,84,100,4.89,LK,1724859378
252,san isidro,-12.1167,-77.05,15.77,77,100,2.57,PE,1724859091
253,trairi,-3.2778,-39.2689,29.65,54,86,8.13,BR,1724859193
254,yelizovo,53.1873,158.3805,11.08,82,0,4.0,RU,1724859286
255,al jawf,29.5,38.75,34.61,18,7,5.12,SA,1724859382
256,island harbour,50.724,-1.2758,24.3,66,93,1.34,GB,1724859383
257,bamboo flat,11.7,92.7167,26.05,89,100,2.57,IN,1724858804
258,shiyan,32.6475,110.7781,21.14,84,15,1.01,CN,1724859386
259,west plains,36.7281,-91.8524,30.71,67,20,1.79,US,1724859387
260,korla,41.7597,86.1469,30.5,26,56,3.43,CN,1724859388
261,chengyang,27.0892,119.6453,25.03,98,26,0.39,CN,1724859389
262,savarkundla,21.3395,71.3083,25.4,88,100,8.23,IN,1724859390
263,gore,-46.1028,168.9436,3.9,99,7,0.9,NZ,1724859392
264,ayora,39.0585,-1.0563,31.47,39,4,6.49,ES,1724859393
265,tazovsky,67.4667,78.7,11.82,81,40,2.42,RU,1724859394
266,kavaratti,10.5669,72.642,27.13,88,86,4.85,IN,1724859395
267,kapuskasing,49.4169,-82.4331,12.05,66,75,4.63,CA,1724859182
268,puerto lempira,15.2667,-83.7667,31.08,79,20,0.0,HN,1724859397
269,vrable,48.2437,18.3085,33.16,28,67,3.01,SK,1724859399
270,darwin,-12.4611,130.8418,23.99,78,6,0.51,AU,1724859400
271,palmer,42.1584,-72.3287,29.17,59,75,5.14,US,1724859401
272,nova vicosa,-17.8919,-39.3719,24.52,62,34,5.79,BR,1724859402
273,kirakira,-10.4544,161.9205,24.21,87,82,4.6,SB,1724859403
274,severobaykal'sk,55.65,109.3167,10.11,96,100,1.59,RU,1724859404
275,badger,64.8,-147.5333,9.34,93,75,0.0,US,1724858890
276,namsos,64.4662,11.4957,17.95,77,75,0.0,NO,1724859407
277,mumford,5.2618,-0.759,24.7,83,96,5.15,GH,1724859408
278,palasa,18.7667,84.4167,26.08,89,100,3.38,IN,1724859409
279,moree,-29.4667,149.85,14.39,36,0,3.6,AU,1724859268
280,saint augustine beach,29.8505,-81.2654,32.25,74,12,4.12,US,1724859412
281,midvagur,62.0511,-7.1939,13.46,94,75,5.66,FO,1724859414
282,papao,-17.75,-149.55,23.82,73,14,3.04,PF,1724859415
283,souillac,-20.5167,57.5167,21.21,78,75,8.23,MU,1724859416
284,chonchi,-42.6128,-73.8092,10.8,65,4,2.42,CL,1724859417
285,tingo maria,-9.2895,-76.0088,25.17,69,75,1.03,PE,1724859418
286,brookings,44.3114,-96.7984,23.03,55,0,4.54,US,1724859419
287,el charco,2.4769,-78.1105,29.34,72,44,2.12,CO,1724859421
288,vilhena,-12.7406,-60.1458,31.12,29,4,3.6,BR,1724859264
289,ugoofaaru,5.6667,73.0,28.44,77,95,2.59,MV,1724859423
290,smithers,54.7804,-127.1743,6.18,93,20,1.03,CA,1724859424
291,margate,51.3813,1.3862,27.71,49,89,4.4,GB,1724859425
292,kara suu,40.7046,72.8667,21.98,52,40,3.0,KG,1724859427
293,luderitz,-26.6481,15.1594,16.66,46,0,14.49,NA,1724859356
294,masterton,-40.9597,175.6575,11.92,76,94,5.38,NZ,1724859431
295,grand island,40.925,-98.342,26.12,75,0,4.12,US,1724859256
296,tura,25.5198,90.2201,24.9,90,13,1.15,IN,1724858870
297,ghat,24.9647,10.1728,39.07,11,45,3.19,LY,1724859434
298,las tablas,7.7667,-80.2833,29.59,71,28,3.6,PA,1724859436
299,solapur,17.6833,75.9167,25.03,79,55,6.53,IN,1724859437
